i	autoc
830	-0.380518
831	-0.371134
832	-0.361616
833	-0.351971
834	-0.342202
835	-0.332312
836	-0.322307
837	-0.312191
838	-0.301967
839	-0.291640
840	-0.281215
841	-0.270695
842	-0.260085
843	-0.249390
844	-0.238614
845	-0.227761
846	-0.216836
847	-0.205843
848	-0.194787
849	-0.183673
850	-0.172505
851	-0.161288
852	-0.150025
853	-0.138723
854	-0.127385
855	-0.116016
856	-0.104621
857	-0.093204
858	-0.081770
859	-0.070324
860	-0.058869
861	-0.047412
862	-0.035956
863	-0.024506
864	-0.013067
865	-0.001643
866	0.009762
867	0.021142
868	0.032493
869	0.043811
870	0.055091
871	0.066329
872	0.077520
873	0.088660
874	0.099744
875	0.110768
876	0.121728
877	0.132620
878	0.143439
879	0.154181
880	0.164841
881	0.175416
882	0.185902
883	0.196294
884	0.206589
885	0.216782
886	0.226870
887	0.236849
888	0.246714
889	0.256463
890	0.266091
891	0.275595
892	0.284970
893	0.294215
894	0.303325
895	0.312296
896	0.321126
897	0.329811
898	0.338347
899	0.346733
900	0.354964
901	0.363037
902	0.370950
903	0.378699
904	0.386283
905	0.393697
906	0.400940
907	0.408009
908	0.414901
909	0.421614
910	0.428145
911	0.434492
912	0.440653
913	0.446626
914	0.452409
915	0.458000
916	0.463396
917	0.468596
918	0.473599
919	0.478402
920	0.483004
921	0.487404
922	0.491600
923	0.495591
924	0.499375
925	0.502952
926	0.506320
927	0.509479
928	0.512427
929	0.515164
930	0.517689
931	0.520002
932	0.522101
933	0.523987
934	0.525658
935	0.527116
936	0.528359
937	0.529387
938	0.530201
939	0.530801
940	0.531186
941	0.531357
942	0.531314
943	0.531058
944	0.530589
945	0.529908
946	0.529015
947	0.527912
948	0.526598
949	0.525075
950	0.523344
951	0.521407
952	0.519263
953	0.516915
954	0.514363
955	0.511610
956	0.508656
957	0.505503
958	0.502153
959	0.498608
960	0.494869
961	0.490939
962	0.486818
963	0.482510
964	0.478016
965	0.473338
966	0.468479
967	0.463441
968	0.458226
969	0.452837
970	0.447276
971	0.441546
972	0.435650
973	0.429589
974	0.423368
975	0.416988
976	0.410452
977	0.403765
978	0.396927
979	0.389943
980	0.382816
981	0.375548
982	0.368144
983	0.360605
984	0.352936
985	0.345140
986	0.337220
987	0.329179
988	0.321022
989	0.312751
990	0.304370
991	0.295884
992	0.287294
993	0.278605
994	0.269821
995	0.260946
996	0.251982
997	0.242935
998	0.233807
999	0.224603
1000	0.215326
1001	0.205980
1002	0.196570
1003	0.187099
1004	0.177571
1005	0.167990
1006	0.158359
1007	0.148684
1008	0.138967
1009	0.129214
1010	0.119427
1011	0.109611
1012	0.099770
1013	0.089908
1014	0.080029
1015	0.070137
1016	0.060236
1017	0.050330
1018	0.040422
1019	0.030518
1020	0.020620
1021	0.010734
1022	0.000862
1023	-0.008991
1024	-0.018821
1025	-0.028625
1026	-0.038398
1027	-0.048137
1028	-0.057838
1029	-0.067496
1030	-0.077109
1031	-0.086672
1032	-0.096181
1033	-0.105634
1034	-0.115025
1035	-0.124353
1036	-0.133612
1037	-0.142799
1038	-0.151911
1039	-0.160945
1040	-0.169896
1041	-0.178762
1042	-0.187538
1043	-0.196222
1044	-0.204810
1045	-0.213300
1046	-0.221687
1047	-0.229969
1048	-0.238142
1049	-0.246204
1050	-0.254151
1051	-0.261981
1052	-0.269690
1053	-0.277276
1054	-0.284736
1055	-0.292067
1056	-0.299267
1057	-0.306332
1058	-0.313261
1059	-0.320050
1060	-0.326698
1061	-0.333202
1062	-0.339559
1063	-0.345768
1064	-0.351826
1065	-0.357731
1066	-0.363481
1067	-0.369074
1068	-0.374508
1069	-0.379781
1070	-0.384892
1071	-0.389838
1072	-0.394619
1073	-0.399232
1074	-0.403676
1075	-0.407950
1076	-0.412052
1077	-0.415980
1078	-0.419735
1079	-0.423314
1080	-0.426716
1081	-0.429942
1082	-0.432988
1083	-0.435855
1084	-0.438543
1085	-0.441049
1086	-0.443374
1087	-0.445518
1088	-0.447479
1089	-0.449257
1090	-0.450852
1091	-0.452263
1092	-0.453491
1093	-0.454536
1094	-0.455397
1095	-0.456074
1096	-0.456568
1097	-0.456878
1098	-0.457006
1099	-0.456950
1100	-0.456713
1101	-0.456294
1102	-0.455693
1103	-0.454912
1104	-0.453951
1105	-0.452812
1106	-0.451493
1107	-0.449998
1108	-0.448326
1109	-0.446480
1110	-0.444459
1111	-0.442265
1112	-0.439899
1113	-0.437363
1114	-0.434658
1115	-0.431786
1116	-0.428748
1117	-0.425546
1118	-0.422180
1119	-0.418654
1120	-0.414969
1121	-0.411126
1122	-0.407128
1123	-0.402977
1124	-0.398674
1125	-0.394221
1126	-0.389622
1127	-0.384877
1128	-0.379989
1129	-0.374961
1130	-0.369795
1131	-0.364493
1132	-0.359058
1133	-0.353491
1134	-0.347797
1135	-0.341976
1136	-0.336033
1137	-0.329969
1138	-0.323787
1139	-0.317491
1140	-0.311082
1141	-0.304564
1142	-0.297939
1143	-0.291211
1144	-0.284383
1145	-0.277457
1146	-0.270436
1147	-0.263324
1148	-0.256123
1149	-0.248837
1150	-0.241469
1151	-0.234022
1152	-0.226499
1153	-0.218904
1154	-0.211239
1155	-0.203508
1156	-0.195714
1157	-0.187860
1158	-0.179950
1159	-0.171988
1160	-0.163975
1161	-0.155917
1162	-0.147815
1163	-0.139674
1164	-0.131497
1165	-0.123287
1166	-0.115048
1167	-0.106782
1168	-0.098494
1169	-0.090187
1170	-0.081865
1171	-0.073529
1172	-0.065185
1173	-0.056835
1174	-0.048483
1175	-0.040133
1176	-0.031786
1177	-0.023448
1178	-0.015121
1179	-0.006808
1180	0.001486
1181	0.009760
1182	0.018009
1183	0.026230
1184	0.034420
1185	0.042576
1186	0.050694
1187	0.058772
1188	0.066806
1189	0.074793
1190	0.082729
1191	0.090613
1192	0.098441
1193	0.106209
1194	0.113915
1195	0.121555
1196	0.129128
1197	0.136630
1198	0.144057
1199	0.151408
1200	0.158680
1201	0.165869
1202	0.172973
1203	0.179990
1204	0.186916
1205	0.193750
1206	0.200488
1207	0.207128
1208	0.213669
1209	0.220106
1210	0.226438
1211	0.232664
1212	0.238779
1213	0.244783
1214	0.250673
1215	0.256447
1216	0.262102
1217	0.267638
1218	0.273052
1219	0.278341
1220	0.283506
1221	0.288542
1222	0.293449
1223	0.298226
1224	0.302870
1225	0.307380
1226	0.311754
1227	0.315992
1228	0.320091
1229	0.324051
1230	0.327870
1231	0.331546
1232	0.335080
1233	0.338469
1234	0.341713
1235	0.344811
1236	0.347762
1237	0.350565
1238	0.353219
1239	0.355724
1240	0.358079
1241	0.360283
1242	0.362336
1243	0.364238
1244	0.365988
1245	0.367586
1246	0.369031
1247	0.370324
1248	0.371463
1249	0.372450
1250	0.373285
1251	0.373966
1252	0.374495
1253	0.374871
1254	0.375095
1255	0.375167
1256	0.375087
1257	0.374857
1258	0.374475
1259	0.373944
1260	0.373263
1261	0.372433
1262	0.371456
1263	0.370330
1264	0.369059
1265	0.367642
1266	0.366080
1267	0.364374
1268	0.362526
1269	0.360537
1270	0.358408
1271	0.356139
1272	0.353733
1273	0.351190
